dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,accuracy_n,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,precision_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,recall_n,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,specificity_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_n,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_n,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_n,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,brier_n,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high,log_loss_n,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,ece_n,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,decision_threshold_mean,decision_threshold_std,decision_threshold_ci95_low,decision_threshold_ci95_high,decision_threshold_n,showcase_role,showcase_run_type
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,0.8148573005361083,0.005669725112906755,0.809887567355759,0.8198270337164576,5,0.3912497893996195,0.008234179000732585,0.3840322132776801,0.3984673655215589,5,0.5894468807469231,0.01612625423314057,0.5753115956773266,0.6035821658165196,5,0.8513476996358806,0.00901007060576763,0.8434500245361055,0.8592453747356558,5,0.7203972901914019,0.004053661690963092,0.71684409905668,0.7239504813261237,5,0.4701265466580519,0.0033568436465709495,0.4671841434692921,0.47306894984681175,5,0.42982740232896444,0.004105800106270711,0.42622850985822275,0.4334262947997061,5,0.12807350477714743,0.043043828394775226,0.09034392566654664,0.16580308388774823,5,0.39132944460315044,0.10926020418895983,0.295558653032758,0.48710023617354287,5,0.09708425508208265,0.12850463234537,-0.015555021510280612,0.2097235316744459,5,0.8297323093544712,0.002214090017207271,0.8277915738860537,0.8316730448228886,5,0.21006780195521912,0.009910694512323284,0.20138069519477383,0.21875490871566441,5,0.4157,0.22711770076328266,0.2166225578223389,0.6147774421776611,5,best_centralized_decision,
cdc,audit,3,iid,0.5,federated,fedavg,mlp,federated_isotonic,calib_f1_optimal,0.8050220750551876,0.00859823314617736,0.7974853914050998,0.8125587587052755,5,0.3775633567885871,0.010472089536034714,0.36838416559352427,0.38674254798364993,5,0.6121657943131984,0.025377797725452865,0.5899211738265243,0.6344104147998725,5,0.8362424714315158,0.01393038678862072,0.8240319490411252,0.8484529938219063,5,0.7242041328723571,0.006156455137227197,0.7188077620149481,0.729600503729766,5,0.4666576581515586,0.00367006249348201,0.4634407065384561,0.46987460976466106,5,0.41649564240109554,0.0052208063011145054,0.4119194039087282,0.42107188089346287,5,0.09761543074952794,0.0004560074023814975,0.09721572263794044,0.09801513886111544,5,0.3154723870668711,0.0015143280844007534,0.3141450199763839,0.3167997541573583,5,0.00416402159427372,0.0010575236531958736,0.003237061241940645,0.005090981946606795,5,0.8259235754069163,0.0025816241788046853,0.8236606820416998,0.8281864687721328,5,0.2262338379060233,0.015445720377821711,0.21269506706132818,0.23977260875071843,5,0.23129999999999998,0.02351935373261774,0.21068437749666527,0.25191562250333466,5,best_federated_decision,
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,0.8069891201513718,0.012642745960713535,0.7959072647103286,0.818070975592415,5,0.38174744350979706,0.01636158919938387,0.36740587824725557,0.39608900877233855,5,0.6127882303013157,0.038214368717039676,0.5792918592432472,0.6462846013593841,5,0.8384271875787208,0.020799506664664003,0.8201956161448666,0.856658759012575,5,0.7256077089400181,0.008903249186052934,0.7178036669429696,0.7334117509370667,5,0.4694536482936161,0.0030831277728114673,0.46675116764655306,0.4721561289406791,5,0.41754112783477026,0.0034059184276623647,0.41455570870378194,0.4205265469657586,5,0.09709381734177325,0.0003907161516542997,0.09675133953477084,0.09743629514877565,5,0.31400447006898285,0.001384214280092079,0.3127911527565038,0.3152177873814619,5,0.0032615244170472804,0.0009062864549850113,0.0024671293138372355,0.004055919520257326,5,0.8283167853931035,0.0020265842870301055,0.826540405943754,0.830093164842453,5,0.2244402396720277,0.023190266505097028,0.2041130748419082,0.2447674045021472,5,0.22759999999999997,0.025569610869154803,0.2051872478798341,0.2500127521201658,5,best_probability_quality,centralized
cdc,audit,5,non_iid,1.0,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,0.8008396404919583,0.01118463179992652,0.7910358784648452,0.8106434025190714,5,0.3695711621975345,0.012022225849072487,0.3590332166156971,0.3801091077793719,5,0.6026312066770406,0.039676700775252836,0.5678530450549382,0.6374093682991431,5,0.8329264662101815,0.019339452793393424,0.8159746884214606,0.8498782439989024,5,0.7177788364436111,0.010322561813008974,0.7087307120766051,0.726826960810617,5,0.4573415345250931,0.0038576885617305073,0.45396012141195236,0.4607229476382338,5,0.3953645850098498,0.00443651952752398,0.3914758041850066,0.39925336583469295,5,0.09883585288920797,0.00031716675448581,0.09855784397130053,0.09911386180711541,5,0.31851100003826904,0.00114728888605401,0.3175053569901627,0.3195166430863754,5,0.00318132039977292,0.0014401749012809759,0.0019189514401016224,0.004443689359444218,5,0.8210376167581355,0.001763570367201398,0.8194917791742622,0.8225834543420087,5,0.22775938189845468,0.02213887746296683,0.20835380019698377,0.2471649635999256,5,0.23508,0.016860812554559755,0.22030084617307202,0.249859153826928,5,best_probability_quality,federated
