run_id,dataset,seed,clients,partition,alpha,run_type,calibration,threshold_strategy,experiment_track,client_id,round,algorithm,model,local_val_auc_mean,local_val_f1_mean,local_val_ece_mean,global_eval_auc,global_eval_f1,global_eval_ece,params_bytes,server_to_client_bytes,client_to_server_bytes,round_communication_bytes,cumulative_communication_bytes,target_reached,params_l2_norm
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,18,fedavg,logistic,0.822579120790088,0.2386316902029139,0.0121882184076511,0.8234641526241391,0.2377112559372583,0.0140388259824837,176,528,528,1056,19008,True,2.6090150794063245
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,19,fedavg,logistic,0.822611635043614,0.2417795919754898,0.0120465690710257,0.8234991109281411,0.2415458937198067,0.0138810691966638,176,528,528,1056,20064,True,2.6103233733471667
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,20,fedavg,logistic,0.822597130141073,0.2457475585673759,0.0121500446136159,0.823495845431854,0.2442814928313451,0.0139454155527223,176,528,528,1056,21120,True,2.6103174058873706
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,1,fedprox,logistic,0.8178999734791867,0.1904237761138752,0.0272303885006109,0.8186384423818552,0.1894340510648311,0.0240098620938085,176,528,528,1056,1056,True,2.0477552254819598
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,2,fedprox,logistic,0.8208907365020236,0.220882489145298,0.0200381350354881,0.8215278007945412,0.2190909090909091,0.0164987367578765,176,528,528,1056,2112,True,2.221363038247256
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,3,fedprox,logistic,0.8218345676485507,0.2254337457400939,0.016264727231091,0.822483097760442,0.2245036101083032,0.0155012821395338,176,528,528,1056,3168,True,2.3349316465711007
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,4,fedprox,logistic,0.822188262807034,0.231510332406039,0.0150303930339312,0.8229129251883903,0.2303314362236357,0.0149450143312339,176,528,528,1056,4224,True,2.4118320981473693
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,5,fedprox,logistic,0.8224132323077584,0.2315769453766886,0.013350155396271,0.8231242202918957,0.2298157453936348,0.0152188978189635,176,528,528,1056,5280,True,2.4652339824590146
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,6,fedprox,logistic,0.8224958187503874,0.2376255676005837,0.0129665215822932,0.8232541792691308,0.2378210806023029,0.0148836015407927,176,528,528,1056,6336,True,2.5028741186904035
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,7,fedprox,logistic,0.822591303669706,0.2374118822087404,0.0128392314258052,0.8233258906042611,0.2378474144612999,0.0145709121537604,176,528,528,1056,7392,True,2.530724996405713
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,8,fedprox,logistic,0.8225998514858689,0.2347266274330934,0.0124753762271699,0.823387491211304,0.2366640789619607,0.0143564573716447,176,528,528,1056,8448,True,2.551098009634286
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,9,fedprox,logistic,0.8226345738309214,0.2367293829255922,0.0118652350913741,0.8234148527010269,0.2372581536760641,0.0141883711810055,176,528,528,1056,9504,True,2.5660204166295486
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,10,fedprox,logistic,0.8225923886031037,0.2442767400986284,0.0121119981040128,0.8234337653670231,0.2412656558998022,0.0142298963364245,176,528,528,1056,10560,True,2.5764749848744426
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,11,fedprox,logistic,0.8226358112038827,0.2383003420830682,0.0121207295625701,0.8234606506385376,0.2381635581061693,0.0141675254782611,176,528,528,1056,11616,True,2.5853549960450866
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,none,calib_f1_optimal,audit,global,12,fedprox,logistic,0.8226736284034039,0.2421162960542265,0.0118348596772631,0.8234688176188348,0.2410036315615714,0.0140536737414329,176,528,528,1056,12672,True,2.591854186271509
