run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,decision_threshold,group_feature,group_value,count,selection_rate,true_positive_rate,false_positive_rate,demographic_parity_difference,equalized_odds_difference
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,age_group,60_plus,24626,0.2882725574595955,0.5904977375565611,0.2139243068204817,0.2769162534203647,0.4238310708898944
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,age_group,under_40,7749,0.0113563040392308,0.1666666666666666,0.0060072086503804,0.2769162534203647,0.4238310708898944
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,bmi_category,healthy,17191,0.0331568844162643,0.1839186691312384,0.0230306040101806,0.4073393663105849,0.6504757211629582
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,bmi_category,obese,14697,0.4202218139756413,0.7315568022440393,0.3205174272367948,0.4073393663105849,0.6504757211629582
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,bmi_category,overweight,18227,0.147747846601196,0.4234800838574423,0.1062365862896099,0.4073393663105849,0.6504757211629582
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,bmi_category,underweight,621,0.0128824476650563,0.081081081081081,0.0085616438356164,0.4073393663105849,0.6504757211629582
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,sex,female,28531,0.1700255862044793,0.5362279511533243,0.1157127907912742,0.0369548236131293,0.0305068574739613
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,sex,male,22205,0.2069804098176086,0.5449172576832151,0.1462196482652356,0.0369548236131293,0.0305068574739613
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,age_group,40_59,18361,0.1282609879636185,0.4756285274499743,0.0870095052400682,0.2878847504466273,0.4211110367061119
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,age_group,60_plus,24626,0.2998862990335418,0.6071575483340189,0.2242967010726573,0.2878847504466273,0.4211110367061119
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,age_group,under_40,7749,0.0120015485869144,0.1860465116279069,0.0060072086503804,0.2878847504466273,0.4211110367061119
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,bmi_category,healthy,17191,0.0346111337327671,0.1894639556377079,0.0242100689055807,0.3974734072713252,0.5485387210492401
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,bmi_category,obese,14697,0.4248486085595699,0.7377279102384292,0.3246496586417535,0.3974734072713252,0.5485387210492401
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,bmi_category,overweight,18227,0.163329127119109,0.4549266247379455,0.1194293649791693,0.3974734072713252,0.5485387210492401
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,bmi_category,underweight,621,0.0273752012882447,0.1891891891891892,0.0171232876712328,0.3974734072713252,0.5485387210492401
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,sex,female,28531,0.177350951596509,0.5503392130257801,0.1220317153666586,0.0376006358837881,0.0306700539335911
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,sex,male,22205,0.2149515874802972,0.5611702127659575,0.1527017693002497,0.0376006358837881,0.0306700539335911
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,age_group,40_59,18361,0.1252110451500463,0.4643406875320677,0.0849378503533999,0.282343203924202,0.422075644373866
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,age_group,60_plus,24626,0.2939576057825063,0.6003702180172769,0.2185792349726776,0.282343203924202,0.422075644373866
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,age_group,under_40,7749,0.0116144018583042,0.1782945736434108,0.0058737151248164,0.282343203924202,0.422075644373866
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,bmi_category,healthy,17191,0.0330987144436042,0.1820702402957486,0.0230926811099385,0.392687850128144,0.548645047221783
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,bmi_category,obese,14697,0.4184527454582568,0.7307152875175316,0.3184513115343155,0.392687850128144,0.548645047221783
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,bmi_category,overweight,18227,0.1587205793602897,0.4448637316561845,0.1156419643984345,0.392687850128144,0.548645047221783
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,bmi_category,underweight,621,0.0257648953301127,0.1891891891891892,0.0154109589041095,0.392687850128144,0.548645047221783
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,sex,female,28531,0.1740212400546773,0.5427408412483039,0.1193351042421315,0.0359765082002201,0.0290629617479858
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,sex,male,22205,0.2099977482548975,0.5526004728132388,0.1483980659901174,0.0359765082002201,0.0290629617479858
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,age_group,40_59,18361,0.1417134143020532,0.5059004617752694,0.0984645381428223,0.3101483284791428,0.4385154289395055
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,age_group,60_plus,24626,0.3248599041663282,0.6400658165364048,0.2473183566079741,0.3101483284791428,0.4385154289395055
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,age_group,under_40,7749,0.0147115756871854,0.2015503875968992,0.0082765985849686,0.3101483284791428,0.4385154289395055
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,bmi_category,healthy,17191,0.0424059100692222,0.2236598890942698,0.0302315475820969,0.4089043115375019,0.5387524531217189
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,bmi_category,obese,14697,0.4507722664489351,0.7624123422159887,0.3509701760689903,0.4089043115375019,0.5387524531217189
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,bmi_category,overweight,18227,0.1830251824216821,0.4951781970649895,0.1360308041913899,0.4089043115375019,0.5387524531217189
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,bmi_category,underweight,621,0.0418679549114331,0.2432432432432432,0.0291095890410958,0.4089043115375019,0.5387524531217189
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,sex,female,28531,0.1932284182117696,0.5791044776119403,0.135997746116075,0.0410881771496354,0.03333438288876
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,sex,male,22205,0.2343165953614051,0.5957446808510638,0.169332129004835,0.0410881771496354,0.03333438288876
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,age_group,40_59,18361,0.1625183813517782,0.5525910723447922,0.1161954667316597,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,age_group,60_plus,24626,0.3837813692844961,0.6912793089263678,0.3081360048573163,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,age_group,under_40,7749,0.0356174990321331,0.3255813953488372,0.0256307569082899,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,bmi_category,healthy,17191,0.1024954918271188,0.4149722735674676,0.0815072319821218,0.3644705556655667,0.3620560251696296
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,bmi_category,obese,14697,0.4669660474926856,0.767461430575035,0.3707330219187926,0.3644705556655667,0.3620560251696296
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,bmi_category,overweight,18227,0.2201130191474186,0.5542976939203355,0.1698017927029415,0.3644705556655667,0.3620560251696296
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,bmi_category,underweight,621,0.1191626409017713,0.4054054054054054,0.1010273972602739,0.3644705556655667,0.3620560251696296
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,sex,female,28531,0.2295047492201465,0.6325644504748983,0.1697255091362794,0.048045352108383,0.0413153494790969
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,sex,male,22205,0.2775501013285296,0.6474586288416075,0.2110408586153764,0.048045352108383,0.0413153494790969
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,age_group,40_59,18361,0.1626273078808343,0.5531041559774243,0.1162563977577382,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,age_group,60_plus,24626,0.3837813692844961,0.6912793089263678,0.3081360048573163,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,age_group,under_40,7749,0.0356174990321331,0.3255813953488372,0.0256307569082899,0.3481638702523629,0.3656979135775305
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,bmi_category,healthy,17191,0.1024954918271188,0.4149722735674676,0.0815072319821218,0.3645385967623892,0.3623365300784655
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,bmi_category,obese,14697,0.467034088589508,0.7677419354838709,0.3707330219187926,0.3645385967623892,0.3623365300784655
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,bmi_category,overweight,18227,0.2201678828112141,0.5542976939203355,0.1698649160459538,0.3645385967623892,0.3623365300784655
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,bmi_category,underweight,621,0.1191626409017713,0.4054054054054054,0.1010273972602739,0.3645385967623892,0.3623365300784655
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,sex,female,28531,0.2295047492201465,0.6325644504748983,0.1697255091362794,0.0481354219124812,0.0413684816187282
