dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,accuracy_n,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,precision_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,recall_n,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,specificity_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_n,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_n,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_n,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,brier_n,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high,log_loss_n,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,ece_n,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,decision_threshold_mean,decision_threshold_std,decision_threshold_ci95_low,decision_threshold_ci95_high,decision_threshold_n,showcase_role,showcase_run_type
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,0.8143133081046988,0.008004755789948312,0.8052550742008561,0.8233715420085416,3,0.39045474380911455,0.011456540882489017,0.37749044736264004,0.40341904025558906,3,0.5895223275333615,0.021398935624846516,0.5653071522963434,0.6137375027703796,3,0.8507034297448112,0.012719650155832778,0.836309790599534,0.8650970688900883,3,0.7201128786390864,0.004486080420453186,0.7150364007519107,0.725189356526262,3,0.4694537112395781,0.0025444112360506156,0.46657443887593475,0.4723329836032214,3,0.4289174362474604,0.004845652117667873,0.42343406468057215,0.4344008078143487,3,0.09817947519483133,0.0005242972334136237,0.09758617702309173,0.09877277336657093,3,0.3206683662832814,0.0041527457915672954,0.315969092038032,0.3253676405285308,3,0.0211208977343528,0.009720150362431568,0.010121512134858332,0.03212028333384727,3,0.8296591516550134,0.00278408679278775,0.8265086608668573,0.8328096424431695,3,0.21063281824871224,0.01390665587801604,0.19489595567990015,0.22636968081752434,3,0.21513333333333332,0.03019690933412447,0.1809623136171404,0.24930435304952622,3,best_centralized_decision,
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,0.7991235677493954,0.01307206313814446,0.7843311357729192,0.8139159997258716,3,0.3684152077193059,0.015038130519602108,0.35139796106024795,0.3854324543783639,3,0.6116376668081293,0.04245351123312305,0.563596996376692,0.6596783372395665,3,0.8294745841634796,0.022033048068080447,0.8045418431464582,0.8544073251805011,3,0.7205561254858045,0.010273682497565382,0.7089303593089498,0.7321818916626592,3,0.4589632072269832,0.002054944235734335,0.45663781891594823,0.46128859553801815,3,0.4009004846991567,0.00593691842911038,0.39418222905087735,0.407618740347436,3,0.1016639181542906,0.0007604701129723693,0.10080336521039748,0.10252447109818372,3,0.33434264597270785,0.0021302126088941706,0.33193208347928255,0.33675320846613316,3,0.03920046628705247,0.0030590429987770638,0.03573883326139157,0.042662099312713364,3,0.821530615989257,0.002195944448241918,0.8190456709173539,0.8240155610611601,3,0.23198517817723116,0.024865679479126317,0.20384701296515237,0.26012334338931,3,0.16169999999999998,0.02026499444855586,0.13876799999999997,0.184632,3,best_federated_decision,
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,0.805594975296962,0.009733610108099066,0.7945803585614102,0.8166095920325138,3,0.37931450514144444,0.011743890748126855,0.36602504171130584,0.39260396857158303,3,0.6172018673079643,0.02978420315555672,0.5834978685974244,0.6509058660185043,3,0.836092854253021,0.01593356619725103,0.8180623267360791,0.8541233817699629,3,0.7266473607804927,0.007402268866253378,0.7182709050123038,0.7350238165486817,3,0.4694217040771578,0.004229240964045838,0.46463586739540086,0.4742075407589147,3,0.41646456287963757,0.0036755385450604077,0.4123052994695589,0.42062382628971623,3,0.09719349819433554,0.0005159138762459847,0.09660968668429014,0.09777730970438094,3,0.31404521850000316,0.0017950614135403818,0.31201391528697703,0.3160765217130293,3,0.0035166089012674665,0.0011187904249569882,0.0022505783533567085,0.004782639449178224,3,0.8280972218024717,0.00247494776619249,0.8252965547547504,0.830897888850193,3,0.22706428045832017,0.01777137880623562,0.2069540721965243,0.24717448872011602,3,0.23303333333333334,0.0286112448756312,0.20065666186897324,0.26541000479769344,3,best_probability_quality,centralized
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,0.8085120361610428,0.009284360345250374,0.7980057933896586,0.8190182789324271,3,0.37864821272410776,0.010271190556595321,0.3670252664439212,0.3902711590042943,3,0.5801857877116047,0.03650295694948311,0.5388788033504419,0.6214927720727674,3,0.8454744620270075,0.01664707928430928,0.8266365184432142,0.8643124056108008,3,0.712830124869306,0.010010510919826927,0.7015021653677019,0.72415808437091,3,0.45766183048368414,0.004164975549207237,0.4529487169648582,0.46237494400251006,3,0.3932246431741752,0.005163075731653336,0.38738207297368293,0.3990672133746675,3,0.0988514133117042,0.0004401933828243551,0.0983532876062887,0.09934953901711971,3,0.318323078755187,0.0015701931811722151,0.3165462379017612,0.32009991960861284,3,0.0033238179050167336,0.001449843789517075,0.0016831652087819767,0.004964470601251491,3,0.8211957951737713,0.002129656772333163,0.8187858616686267,0.8236057286789159,3,0.21383238725953954,0.019393230786816394,0.19188688070969856,0.23577789380938052,3,0.23713333333333333,0.022285720390719552,0.21191466666666667,0.26235200000000003,3,best_probability_quality,federated
