run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,decision_threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,log_loss,ece,selection_rate,roc_auc
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,0.65,0.8057395143487859,0.3784137509815897,0.6135238364690904,0.8368562072045251,0.7251900218368077,0.4681057744198597,0.4233748034150617,0.1744768615907173,0.5092939375737142,0.2351207304611751,0.2258948281299274,0.8270076842148985
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,audit,global,0.25,0.8052467675812046,0.377696590118302,0.6142311500919507,0.8361691895481714,0.7252001698200611,0.467761917586857,0.4233748034150617,0.0975912368801831,0.3159240131301057,0.009934989170669,0.2265846736045411,0.8270076842148985
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,0.8250551876379691,0.4043611728591087,0.5403876078653275,0.8711383882565782,0.7057629980609528,0.4625817389198353,0.4149413421386957,0.0975352211958159,0.3149726776661078,0.0048786852523947,0.1861991485335856,0.826699833439928
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,0.8216650898770104,0.3993694701515305,0.5555241193945395,0.8647491240524882,0.7101366217235139,0.4646787362442314,0.4201977573394045,0.0977091439096844,0.316036741263211,0.0095823246457319,0.1938071586250394,0.8258947379647048
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,0.823458688111006,0.4019526381387619,0.5474607440939312,0.8681384111571667,0.707799577625549,0.4635563274839792,0.4201977573394045,0.1001473806485448,0.3285371624370353,0.0309981622154202,0.1897666351308735,0.8258947379647048
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,0.8130518763796909,0.387271369914147,0.5870703069741123,0.8496347356127052,0.7183525212934088,0.4666854090525724,0.4122233972372414,0.09774928750774,0.3156472880882197,0.0048003035683408,0.2112109744560075,0.8256596465288814
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.196,0.7883948281299274,0.3557548579970104,0.6396944405149243,0.8124670804039664,0.7260807604594454,0.4572295247724974,0.3945064259871003,0.0999516323677455,0.3222171855160313,0.0136918893019184,0.2505321665089877,0.8190381239013715
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,0.7883948281299274,0.3557775505388185,0.6398359032394964,0.8124441798154213,0.7261400415274588,0.4572843999595592,0.3945064259871003,0.1026872240546167,0.3368866317208905,0.0385259624077108,0.2505715862503942,0.8190381239013715
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,audit,global,0.15,0.7928492589088616,0.3603603603603603,0.6280944971000142,0.8195204616758651,0.7238074793879397,0.4579680247550283,0.3945064259871003,0.1025843133534014,0.3368125958477602,0.0390703479493032,0.2428453169347209,0.8190381239013715
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,audit,global,0.2237,0.7934799747713654,0.3611405295315682,0.6271042580280096,0.820413584629125,0.7237589213285673,0.4583333333333333,0.3884030133620191,0.0993474214631566,0.3200014378503013,0.0045621541353724,0.2419386628823714,0.8188146236815352
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,audit,global,0.25,0.8128744875433617,0.3824071380079527,0.5577875229876927,0.8541690521446401,0.7059782875661664,0.4537399309551208,0.3914010650388615,0.0994331258959945,0.3205517282223546,0.0049571358248895,0.203228476821192,0.8188999817459406
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,0.196,0.7883751182592242,0.3557495674060091,0.6398359032394964,0.8124212792268761,0.7261285912331863,0.4572612849416165,0.3945102282421385,0.0999508331666631,0.3222172400422082,0.0137284664044275,0.2505912961210974,0.8190378323392029
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.1463,0.7883948281299274,0.355800235941801,0.6399773659640685,0.8124212792268761,0.7261993225954724,0.457339264051759,0.3945102282421385,0.1026864995733693,0.3368842130400844,0.0385560469007502,0.2506110059918007,0.8190378323392029
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,audit,global,0.15,0.7928295490381583,0.3603084415584415,0.627953034375442,0.8195204616758651,0.7237367480256536,0.4578884934756821,0.3945102282421385,0.1025836043507726,0.3368101938344544,0.0390965628293024,0.2428256070640176,0.8190378323392029
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,audit,global,0.2234,0.793440555029959,0.3610816974830985,0.6271042580280096,0.8203677834520348,0.7237360207400222,0.4582859505841001,0.3888246846418233,0.0993449742849678,0.3199894661257212,0.0045380102552093,0.2419780826237779,0.8188496111417541
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,audit,global,0.2,0.7971065909807632,0.3643704264446126,0.61281652284623,0.8269402523644858,0.7198783876053578,0.4570102331469564,0.3913410281474983,0.0994316808560554,0.3205393993717929,0.0049359765395542,0.2343306527909177,0.8188992074864041
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,0.65,0.8057395143487859,0.3784137509815897,0.6135238364690904,0.8368562072045251,0.7251900218368077,0.4681057744198597,0.4233748034150617,0.1744768615907173,0.5092939375737142,0.2351207304611751,0.2258948281299274,0.8270076842148985
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,audit,global,0.25,0.8052467675812046,0.377696590118302,0.6142311500919507,0.8361691895481714,0.7252001698200611,0.467761917586857,0.4233748034150617,0.0975912368801831,0.3159240131301057,0.009934989170669,0.2265846736045411,0.8270076842148985
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,0.8250551876379691,0.4043611728591087,0.5403876078653275,0.8711383882565782,0.7057629980609528,0.4625817389198353,0.4149413421386957,0.0975352211958159,0.3149726776661078,0.0048786852523947,0.1861991485335856,0.826699833439928
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,0.8216650898770104,0.3993694701515305,0.5555241193945395,0.8647491240524882,0.7101366217235139,0.4646787362442314,0.4201977573394045,0.0977091439096844,0.316036741263211,0.0095823246457319,0.1938071586250394,0.8258947379647048
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,0.823458688111006,0.4019526381387619,0.5474607440939312,0.8681384111571667,0.707799577625549,0.4635563274839792,0.4201977573394045,0.1001473806485448,0.3285371624370353,0.0309981622154202,0.1897666351308735,0.8258947379647048
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,0.8130518763796909,0.387271369914147,0.5870703069741123,0.8496347356127052,0.7183525212934088,0.4666854090525724,0.4122233972372414,0.09774928750774,0.3156472880882197,0.0048003035683408,0.2112109744560075,0.8256596465288814
cdc_seed42_c3_non_iid_a0p5_calib_f1_optimal,cdc,42,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.2334,0.8133475244402397,0.3828894741976392,0.5552411939453954,0.8551308768635354,0.7051860354044654,0.4532332563510393,0.3943847815809597,0.1000300966208844,0.3223236913957377,0.0141583384759891,0.2020458845789971,0.8190063857395414
