run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,decision_threshold,bin,lower,upper,count,avg_predicted_risk,observed_event_rate
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,5,0.4,0.5,2666,0.4395418138543845,0.4302325581395348
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,6,0.5,0.6000000000000001,920,0.5510592135906437,0.5173913043478261
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,7,0.6000000000000001,0.7000000000000001,780,0.6344198440212866,0.6025641025641025
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,8,0.7000000000000001,0.8,118,0.7789975096312741,0.6016949152542372
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,9,0.8,0.9,41,0.8050933677016519,0.8292682926829268
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.25,10,0.9,1.0,23,0.9408722305836944,0.782608695652174
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,1,0.0,0.1,28715,0.0391081185263248,0.0347553543444192
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,2,0.1,0.2,9214,0.1432559756416153,0.1556327327979162
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,3,0.2,0.3,5265,0.2459624107110775,0.2638176638176638
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,4,0.3,0.4,3257,0.3464622903186559,0.3567700337734111
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,5,0.4,0.5,2281,0.4472495469779096,0.4322665497588777
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,6,0.5,0.6000000000000001,1230,0.5453343815210764,0.5056910569105691
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,7,0.6000000000000001,0.7000000000000001,681,0.6428562721901394,0.5961820851688693
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,8,0.7000000000000001,0.8,93,0.7221838282048976,0.7741935483870968
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,9,0.8,0.9,0,,
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.25,10,0.9,1.0,0,,
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,1,0.0,0.1,32968,0.0590751024273366,0.0472276146566367
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,2,0.1,0.2,8140,0.1402208713951906,0.2017199017199017
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,3,0.2,0.3,3291,0.2440616803604833,0.3065937405044059
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,4,0.3,0.4,1979,0.3459524807437748,0.3734209196563921
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,5,0.4,0.5,1459,0.448818274864426,0.4215215901302261
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,6,0.5,0.6000000000000001,1139,0.5475817065171074,0.4574187884108867
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,7,0.6000000000000001,0.7000000000000001,787,0.648556430180789,0.5069885641677255
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,8,0.7000000000000001,0.8,687,0.7506574273443839,0.5778748180494906
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,9,0.8,0.9,285,0.8338599569486862,0.6631578947368421
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.2,10,0.9,1.0,1,0.9074536661715706,1.0
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,1,0.0,0.1,26416,0.0274588612489279,0.0292247122955784
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,2,0.1,0.2,11189,0.1454700107612893,0.1421932254893198
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,3,0.2,0.3,4365,0.2341528311436922,0.2469644902634593
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,4,0.3,0.4,3780,0.3308653641403881,0.3304232804232804
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,5,0.4,0.5,2826,0.425613415578821,0.4263977353149327
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.2491,6,0.5,0.6000000000000001,1013,0.5191899814553205,0.4906219151036525
