run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,contribution,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,6,MentHlth,0.0056686343463315,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,7,Smoker,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,8,CholCheck,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,9,PhysActivity,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,10,Fruits,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,11,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,12,Veggies,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,13,AnyHealthcare,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,14,Stroke,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,15,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,16,BMI,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,17,PhysHlth,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,18,GenHlth,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,19,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,20,DiffWalk,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,21,Education,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,1,Age,-0.0429208278656005,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,2,CholCheck,0.0053159045055508,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,3,Veggies,-0.0011514998041093,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,4,MentHlth,0.0009776507504284,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,5,Sex,-0.0005954182706773,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,6,PhysActivity,-0.0004411474801599,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,7,AnyHealthcare,0.0004089926369488,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,8,PhysHlth,0.0002818619832396,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,9,Education,-0.0002772877924144,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,10,BMI,-0.0001003928482532,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,11,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,12,HighBP,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,13,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,14,Stroke,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,15,Smoker,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,16,HighChol,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,17,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,18,GenHlth,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,19,Fruits,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,20,DiffWalk,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,21,Income,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,1,Age,-0.024300209621576,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,2,GenHlth,-0.009462688482259,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,3,MentHlth,0.0008719294907538,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,4,BMI,0.0006230353751018,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,5,Sex,-0.0001052795085086,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,6,Fruits,0.0001042877295799,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,7,Education,-7.060943797129217e-05,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,8,Smoker,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,9,PhysActivity,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,10,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,11,Stroke,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,12,Veggies,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,13,AnyHealthcare,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,14,HighBP,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,15,HighChol,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,16,CholCheck,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,17,PhysHlth,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,18,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,19,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,20,DiffWalk,0.0,single_feature_probability_delta
cdc_seed43_c3_iid_a0p5_calib_f1_optimal,cdc,43,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,21,Income,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,1,CholCheck,0.0105080995708704,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,2,Age,-0.0103536499664187,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,3,MentHlth,0.0030100671574473,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,4,Sex,0.0019337739795446,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,5,Income,-0.001932886429131,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,6,Education,-0.0014225542545318,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,7,AnyHealthcare,0.0013393471017479,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,8,Fruits,-0.0010156799107789,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,9,BMI,-0.0007222685962915,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,10,PhysActivity,-0.0007056836038827,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,11,PhysHlth,0.0006085010245442,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,12,Veggies,0.0002503795549273,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,13,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,14,Stroke,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,15,Smoker,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,16,HighBP,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,17,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,18,GenHlth,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,19,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,20,HighChol,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,21,DiffWalk,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,1,GenHlth,-0.0153908528827197,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,2,Age,-0.0081921035805577,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,3,Sex,0.0019080191762194,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,4,Income,-0.0018559858510186,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,5,MentHlth,0.0010858769687475,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,6,Education,-0.0008533797684314,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,7,BMI,-0.0004744681774151,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,8,HighBP,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,9,PhysActivity,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,10,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,11,Fruits,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,12,Veggies,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,13,Smoker,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,14,Stroke,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,15,HighChol,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,16,CholCheck,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,17,PhysHlth,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,18,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,19,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,20,AnyHealthcare,0.0,single_feature_probability_delta
cdc_seed44_c3_iid_a0p5_calib_f1_optimal,cdc,44,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,21,DiffWalk,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,1,HighBP,0.433546120697474,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,2,Age,-0.3677831178200755,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,3,HighChol,0.339105096874853,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,4,GenHlth,0.2547391585549547,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,5,Sex,0.1498766746340703,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,6,Income,-0.103929349989869,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,7,CholCheck,0.0459807193960617,linear_shap_approximation
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,8,HvyAlcoholConsump,0.04518533834199,linear_shap_approximation
