dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,curve_type,point_id,class_label,curve_x_mean,curve_x_std,curve_x_ci95_low,curve_x_ci95_high,curve_x_n,curve_y_mean,curve_y_std,curve_y_ci95_low,curve_y_ci95_high,curve_y_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,24,,0.46,0.0,0.46,0.46,3,0.41717202887845484,0.005514595608723406,0.4109316764904848,0.4234123812664249,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,25,,0.48,0.0,0.48,0.48,3,0.4108026617775608,0.004354250314461683,0.4058753636988608,0.4157299598562608,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,26,,0.5,0.0,0.5,0.5,3,0.4048134962146093,0.004222875360165014,0.4000348628917561,0.40959212953746255,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,27,,0.52,0.0,0.52,0.52,3,0.3978853395804547,0.0025631885198844385,0.3949848187198542,0.4007858604410552,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,28,,0.54,0.0,0.54,0.54,3,0.3915856420392822,0.002751998096210733,0.38847146302963526,0.39469982104892914,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,29,,0.56,0.0,0.56,0.56,3,0.38462904758546207,0.0026749479465025903,0.38160205902817834,0.3876560361427458,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,30,,0.58,0.0,0.58,0.58,3,0.3770959946430694,0.002223597694066252,0.3745797569776818,0.37961223230845703,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,31,,0.6,0.0,0.6,0.6,3,0.3706591706939076,0.002059852190792017,0.36832822850889213,0.37299011287892303,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,32,,0.62,0.0,0.62,0.62,3,0.3645107903306906,0.002194694430926002,0.36202725978654177,0.36699432087483946,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,33,,0.64,0.0,0.64,0.64,3,0.35758064435183085,0.0026622100554911277,0.35456807007516367,0.360593218628498,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,34,,0.66,0.0,0.66,0.66,3,0.3504035011269029,0.002036196047002866,0.34809932838861735,0.3527076738651884,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,35,,0.68,0.0,0.68,0.68,3,0.34333338089742976,0.0013931453222985413,0.3417568885568051,0.34490987323805444,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,36,,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,3,0.33672118072001167,0.0022250966049810607,0.33420324687724856,0.3392391145627748,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,37,,0.7200000000000001,1.3597399555105182e-16,0.72,0.7200000000000002,3,0.3287136110734805,0.004233668489664666,0.3239227641748322,0.33350445797212885,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,38,,0.7399999999999999,1.3597399555105182e-16,0.7399999999999998,0.74,3,0.3197526846599881,0.004273812389337347,0.3149164106624263,0.32458895865754983,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,39,,0.7600000000000001,1.3597399555105182e-16,0.76,0.7600000000000002,3,0.3120282334756446,0.004384327310427486,0.3070669000719788,0.31698956687931046,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,40,,0.7799999999999999,1.3597399555105182e-16,0.7799999999999998,0.78,3,0.304151522567164,0.004223574811007379,0.29937209774117185,0.30893094739315613,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,41,,0.8000000000000002,1.3597399555105182e-16,0.8,0.8000000000000003,3,0.2966897604417726,0.0034752821955008105,0.2927571084240513,0.3006224124594939,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,42,,0.82,1.3597399555105182e-16,0.8199999999999998,0.8200000000000001,3,0.2893331182281073,0.0031473588210891934,0.2857715464414266,0.292894690014788,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,43,,0.84,0.0,0.84,0.84,3,0.2805017955819134,0.002340900404258637,0.27785281740396556,0.28315077375986125,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,44,,0.86,0.0,0.86,0.86,3,0.26988884932615154,0.002598219384970321,0.26694868730995197,0.2728290113423511,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,45,,0.88,0.0,0.88,0.88,3,0.2594838053553529,0.002957381467627154,0.25613721318194826,0.2628303975287576,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,46,,0.9,0.0,0.9,0.9,3,0.24804562797711474,0.0021747401398354953,0.24558467783901777,0.2505065781152117,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,47,,0.92,0.0,0.92,0.92,3,0.2375987739544936,0.0022833231337569763,0.23501495059168748,0.24018259731729974,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,48,,0.9400000000000001,0.0,0.9400000000000001,0.9400000000000001,3,0.22528897677325954,0.001865658433379182,0.2231777855117539,0.22740016803476518,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,49,,0.96,0.0,0.96,0.96,3,0.2098143964976191,0.0027527421415551212,0.2066993755214036,0.2129294174738346,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,50,,0.98,0.0,0.98,0.98,3,0.19043161949326934,0.0025581226568103634,0.18753683119639145,0.19332640779014723,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,51,,1.0,0.0,1.0,1.0,3,0.13932907600126143,0.0,0.13932907600126143,0.13932907600126143,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,1,,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,2,,0.02,0.0,0.02,0.02,3,0.14177836662878823,0.005039323309099446,0.13607583547746568,0.14748089778011078,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,3,,0.04,0.0,0.04,0.04,3,0.2397282013171204,0.009126719841392685,0.2294003455689175,0.25005605706532325,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,4,,0.06,0.0,0.06,0.06,3,0.3193605781508812,0.007890414807737552,0.3104317332488816,0.3282894230528808,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,5,,0.08,0.0,0.08,0.08,3,0.3881095720021817,0.008788816700282762,0.3781640896541593,0.3980550543502041,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,6,,0.10000000000000002,1.6996749443881478e-17,0.1,0.10000000000000003,3,0.4471727056874741,0.008088388291748813,0.43801983269867334,0.4563255786762748,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,7,,0.12,0.0,0.12,0.12,3,0.5019685181508845,0.005061425172800669,0.49624097638632525,0.5076960599154438,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,8,,0.14,0.0,0.14,0.14,3,0.5493577849650714,0.0038732647170591395,0.5449747733280793,0.5537407966020634,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,9,,0.16,0.0,0.16,0.16,3,0.589726659150457,0.002755504061136343,0.5866085127680146,0.5928448055328993,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,10,,0.18000000000000002,3.3993498887762956e-17,0.18,0.18000000000000005,3,0.6290077773150987,0.0036041422682898607,0.6249293063978608,0.6330862482323366,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,11,,0.20000000000000004,3.3993498887762956e-17,0.2,0.20000000000000007,3,0.6627029229920073,0.002544637185153894,0.6598233949428838,0.6655824510411308,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,12,,0.22,0.0,0.22,0.22,3,0.6954170178986755,0.002836465627726637,0.6922072548789939,0.6986267809183571,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,13,,0.24,0.0,0.24,0.24,3,0.7225078411369813,0.00588145499428012,0.7158523482735997,0.7291633340003629,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,14,,0.26,0.0,0.26,0.26,3,0.7463563344167145,0.006390712616927007,0.7391245623033096,0.7535881065301193,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,15,,0.28,0.0,0.28,0.28,3,0.7705455714548494,0.005789976503239515,0.7639935962490654,0.7770975466606334,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,16,,0.3,0.0,0.3,0.3,3,0.7918791325182114,0.005617849092142714,0.7855219378144054,0.7982363272220174,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,17,,0.32,0.0,0.32,0.32,3,0.8138851565543557,0.00502172649957984,0.8082025380675506,0.8195677750411607,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,18,,0.34,0.0,0.34,0.34,3,0.8320132350699295,0.003913673821534654,0.827584496226538,0.8364419739133211,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,19,,0.36000000000000004,6.798699777552591e-17,0.36,0.3600000000000001,3,0.8483240878752287,0.0029936693039395354,0.8449364321493801,0.8517117436010774,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,20,,0.38000000000000006,6.798699777552591e-17,0.38,0.3800000000000001,3,0.8622262991283441,0.0035753021772869293,0.8581804638463421,0.8662721344103462,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,21,,0.4000000000000001,6.798699777552591e-17,0.4,0.40000000000000013,3,0.8755539769792363,0.004071562404741137,0.870946570384453,0.8801613835740196,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,22,,0.42,0.0,0.42,0.42,3,0.8871572430609579,0.0028131843797092847,0.8839738252535037,0.8903406608684121,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,23,,0.44,0.0,0.44,0.44,3,0.8990822072723955,0.0029446630038862517,0.8957500073955813,0.9024144071492097,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,24,,0.46,0.0,0.46,0.46,3,0.9108571996917411,0.0037025714498872533,0.9066673456701001,0.915047053713382,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,25,,0.48,0.0,0.48,0.48,3,0.9207386500466125,0.0024598210342682385,0.9179551005074781,0.9235221995857469,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,26,,0.5,0.0,0.5,0.5,3,0.9299120640599042,0.0018679009671660751,0.927798335132527,0.9320257929872815,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,27,,0.52,0.0,0.52,0.52,3,0.9388925674612004,0.0018546613562715338,0.9367938205639345,0.9409913143584664,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,28,,0.54,0.0,0.54,0.54,3,0.9458150330791629,0.0028385609974413504,0.9426028989254344,0.9490271672328915,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,29,,0.56,0.0,0.56,0.56,3,0.9521808259377994,0.0029589167234747174,0.948832496458856,0.9555291554167428,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,30,,0.58,0.0,0.58,0.58,3,0.9583962257121216,0.003165386271866415,0.9548142539444652,0.961978197479778,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,31,,0.6,0.0,0.6,0.6,3,0.9643932876452491,0.003183828475251546,0.9607904465598586,0.9679961287306397,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,32,,0.62,0.0,0.62,0.62,3,0.9687343023679661,0.0031919484057059385,0.9651222727162696,0.9723463320196626,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,33,,0.64,0.0,0.64,0.64,3,0.9726760846545844,0.0030803660414592516,0.9691903223346359,0.976161846974533,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,34,,0.66,0.0,0.66,0.66,3,0.9767980300885197,0.00228865256981715,0.9742081759010794,0.97938788427596,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,35,,0.68,0.0,0.68,0.68,3,0.9809068678381759,0.0018021219271363682,0.9788675749018763,0.9829461607744756,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,36,,0.7000000000000001,0.0,0.7000000000000001,0.7000000000000001,3,0.9836234178960486,0.0018265530677819702,0.9815564785215174,0.9856903572705797,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,37,,0.7200000000000001,1.3597399555105182e-16,0.72,0.7200000000000002,3,0.985914466229774,0.0016107316673286821,0.984091751760794,0.9877371806987539,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,38,,0.7399999999999999,1.3597399555105182e-16,0.7399999999999998,0.74,3,0.9883839820516812,0.0009816418495827489,0.9872731497269166,0.9894948143764458,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,39,,0.7600000000000001,1.3597399555105182e-16,0.76,0.7600000000000002,3,0.9906774342775299,0.000960345937857237,0.9895907005454853,0.9917641680095745,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,40,,0.7799999999999999,1.3597399555105182e-16,0.7799999999999998,0.78,3,0.9925763975561477,0.0011289780474654455,0.9912988386281055,0.9938539564841898,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,41,,0.8000000000000002,1.3597399555105182e-16,0.8,0.8000000000000003,3,0.9942826202125378,0.00096907003347911,0.99318601423694,0.9953792261881356,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,42,,0.82,1.3597399555105182e-16,0.8199999999999998,0.8200000000000001,3,0.9954489411017954,0.0006078554434122026,0.9947610879141858,0.9961367942894049,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,43,,0.84,0.0,0.84,0.84,3,0.9963816958469374,0.00026063573889206375,0.9960867587434782,0.9966766329503965,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,44,,0.86,0.0,0.86,0.86,3,0.9968387372578275,0.00030632894648932385,0.9964920934223838,0.9971853810932712,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,45,,0.88,0.0,0.88,0.88,3,0.9976292085596287,0.0004883878236062524,0.9970765457104298,0.9981818714088275,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,46,,0.9,0.0,0.9,0.9,3,0.9983083880755362,0.0005833832816077985,0.9976482277459693,0.9989685484051032,3
