dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,AnyHealthcare,linear_logit_attribution_fallback,20.0,1.0,18.868393472388334,21.131606527611666,3,6.596956066218133e-05,1.4707448248167237e-05,4.9326516220044516e-05,8.261260510431815e-05,3
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,NoDocbcCost,linear_logit_attribution_fallback,20.333333333333332,0.5773502691896258,19.68,20.986666666666665,3,2.2633352052628083e-05,2.9607899435288018e-05,-1.0871140217213618e-05,5.613784432246978e-05,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HighBP,linear_logit_attribution_fallback,1.0,0.0,1.0,1.0,3,0.5189256785342523,0.06981017970175932,0.439928023489998,0.5979233335785066,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,GenHlth,linear_logit_attribution_fallback,2.0,0.0,2.0,2.0,3,0.11181182288042246,0.01751806110533675,0.09198827058252335,0.13163537517832158,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HighChol,linear_logit_attribution_fallback,3.0,0.0,3.0,3.0,3,0.066054988195046,0.017750091980137127,0.04596886824461534,0.08614110814547667,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,DiffWalk,linear_logit_attribution_fallback,4.333333333333333,0.5773502691896258,3.6799999999999997,4.986666666666666,3,0.031607348209660165,0.007494751910618074,0.023126238024774745,0.040088458394545584,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Age,linear_logit_attribution_fallback,4.666666666666667,0.5773502691896258,4.013333333333334,5.32,3,0.029828772478049968,0.0028358790295796546,0.026619673256660592,0.03303787169943934,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,BMI,linear_logit_attribution_fallback,6.0,0.0,6.0,6.0,3,0.024330155170614636,0.006907538145913794,0.016513539914972,0.03214677042625727,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HeartDiseaseorAttack,linear_logit_attribution_fallback,8.0,1.0,6.868393472388334,9.131606527611666,3,0.0169773454170595,0.008054082129430788,0.007863293505475148,0.02609139732864385,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HvyAlcoholConsump,linear_logit_attribution_fallback,8.333333333333334,2.3094010767585034,5.720000000000001,10.946666666666667,3,0.014229466834777466,0.005005455106803151,0.008565261162251868,0.019893672507303062,3
