dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,7580.0,1087.8607447646964,6348.969680091781,8811.03031990822,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36087.0,1087.8607447646964,34855.96968009178,37318.03031990822,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4357.0,332.5913408373706,3980.637467681315,4733.362532318685,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2714.0,331.62026476076517,2338.736343708409,3089.263656291591,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,7574.0,1084.3011574281381,6346.997732357433,8801.002267642567,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36093.0,1084.3011574281381,34865.997732357435,37320.002267642565,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4355.0,331.62026476076517,3979.736343708409,4730.263656291591,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2874.3333333333335,97.07900562600203,2764.4780968729,2984.188569793767,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7102.333333333333,230.98556953483768,6840.948555063612,7363.718111603054,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36564.666666666664,230.98556953483768,36303.281888396945,36826.05144493638,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4194.666666666667,97.07900562600203,4084.8114302062336,4304.521903127101,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2915.3333333333335,366.21896910637133,2500.9175573573484,3329.7491093093186,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,6976.333333333333,1109.178224332471,5721.180014393991,8231.486652272675,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36690.666666666664,1109.178224332471,35435.51334772732,37945.81998560601,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4153.666666666667,366.21896910637133,3739.250890690682,4568.082442642652,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2943.6666666666665,247.7444920343,2663.317382300816,3224.015951032517,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,6861.0,698.1998281294547,6070.912516911366,7651.087483088634,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36806.0,698.1998281294547,36015.91251691137,37596.08748308863,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4125.333333333333,247.74449203429998,3844.9840489674825,4405.6826176991835,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2980.3333333333335,255.50016307887816,2691.2076809874297,3269.4589856792372,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,6757.333333333333,733.3330303029676,5927.488889329251,7587.177777337415,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36909.666666666664,733.3330303029676,36079.82222266258,37739.51111067075,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4088.6666666666665,255.50016307887816,3799.5410143207628,4377.79231901257,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FN,2915.0,365.9057255632932,2500.9386924620944,3329.0613075379056,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FP,6977.333333333333,1109.1444150034447,5722.218273251412,8232.448393415254,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36689.666666666664,1109.1444150034447,35434.55160658474,37944.78172674859,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4154.0,365.9057255632932,3739.9386924620944,4568.061307537906,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2916.6666666666665,203.21499288520357,2686.707254209212,3146.626079124121,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,6955.666666666667,563.6349291281844,6317.853701675274,7593.47963165806,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,36711.333333333336,563.6349291281842,36073.520368341946,37349.146298324726,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4152.333333333333,203.21499288520354,3922.3739208758784,4382.292745790788,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,3024.0,177.5837830433849,2823.0450319101315,3224.9549680898685,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,6617.333333333333,486.553525661189,6066.746187662661,7167.920479004005,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,37049.666666666664,486.553525661189,36499.07952099599,37600.25381233734,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TP,4045.0,177.5837830433849,3844.0450319101315,4245.954968089868,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FN,2881.6666666666665,134.5151788213261,2729.4484122496033,3033.8849210837298,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FP,7045.666666666667,392.7369772931158,6601.242939527302,7490.090393806032,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TN,36621.333333333336,392.7369772931158,36176.90960619397,37065.7570604727,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TP,4187.333333333333,134.5151788213261,4035.11507891627,4339.551587750396,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FN,2977.0,257.8740002404275,2685.1880980265996,3268.8119019734004,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,6763.333333333333,738.5129202209893,5927.627292085707,7599.039374580959,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36903.666666666664,738.5129202209894,36067.96062541904,37739.37270791429,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4092.0,257.8740002404275,3800.1880980265996,4383.8119019734,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2915.3333333333335,365.37971116816726,2501.86726711857,3328.799399548097,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,6976.333333333333,1110.0262759652733,5720.220353630561,8232.446313036105,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36690.666666666664,1110.0262759652733,35434.55368696389,37946.77964636944,3
