run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,mean_abs_shap,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,5,Age,0.0614392700349074,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,6,DiffWalk,0.0301019085110563,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,7,Income,0.009898699361648,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,8,HeartDiseaseorAttack,0.00955167181254,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,9,HvyAlcoholConsump,0.0085198968388732,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,10,Sex,0.007367432006434,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,11,CholCheck,0.0022018131537386,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,12,Education,0.0017020457573047,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,13,Stroke,0.000852658646488,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,14,MentHlth,0.0006689532792328,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,15,PhysActivity,0.0004315595363836,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,16,PhysHlth,0.000417851513406,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,17,Smoker,0.0003627303916222,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,18,Fruits,0.0003524939540968,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,19,Veggies,0.0001047211381705,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,20,AnyHealthcare,6.039198948820274e-05,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,21,NoDocbcCost,0.0,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,1,GenHlth,0.4720598858352039,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,2,HighBP,0.36235550159834,shap
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,3,Age,0.305132267867103,shap
