dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,contribution_mean,contribution_std,contribution_ci95_low,contribution_ci95_high,contribution_n
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,CholCheck,single_feature_probability_delta,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,0.12029673128078379,0.19467337214724192,-0.09999692739321038,0.340590389954778,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Age,single_feature_probability_delta,2.6666666666666665,2.081665999466133,0.31103983336352625,5.022293499969807,3,-0.055436122852067095,0.052471729692919133,-0.1148134746876493,0.003941228983515108,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,MentHlth,single_feature_probability_delta,5.0,2.6457513110645907,2.0060505459621845,7.993949454037816,3,0.007781004998832899,0.010075011520971733,-0.0036199438040614568,0.019181953801727256,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Sex,single_feature_probability_delta,7.0,4.358898943540674,2.0674415022897756,11.932558497710225,3,0.0018475628457963334,0.002401036635133276,-0.0008694658835552329,0.0045645915751479,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,AnyHealthcare,single_feature_probability_delta,7.666666666666667,1.1547005383792517,6.36,8.973333333333334,3,0.003703997004777133,0.004923429161343761,-0.0018673875724331004,0.009275381581987365,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,PhysActivity,single_feature_probability_delta,8.666666666666666,2.3094010767585034,6.053333333333333,11.28,3,-0.0023411240739126334,0.00306461664835144,-0.00580906427781451,0.001126816129989243,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Veggies,single_feature_probability_delta,9.333333333333334,5.507570547286102,3.100930550742622,15.565736115924047,3,-0.0009312687131265667,0.001088374326966043,-0.002162880206006295,0.000300342779753162,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,PhysHlth,single_feature_probability_delta,10.0,1.7320508075688772,8.04,11.96,3,0.001703675836324633,0.0021858859119638493,-0.0007698869302680395,0.004177238602917305,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HighBP,single_feature_probability_delta,10.666666666666666,6.110100926607786,3.7524365737512033,17.580896759582128,3,0.0594008962313334,0.10288537028779608,-0.05702486038208005,0.17582665284474686,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Income,single_feature_probability_delta,10.666666666666666,8.962886439832502,0.5242058651101154,20.809127468223217,3,-0.018932987314959335,0.031133970726863112,-0.05416439181994817,0.0162984171900295,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Fruits,single_feature_probability_delta,11.333333333333334,6.658328118479393,3.798725771481747,18.867940895184923,3,-0.0070445990810790995,0.011333382594007435,-0.019869528804378356,0.005780330642220157,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,BMI,single_feature_probability_delta,11.666666666666666,3.7859388972001824,7.382473497456026,15.950859835877306,3,-0.0002742204815149,0.0003912544132163195,-0.0007169665294673595,0.0001685255664375595,3
