dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,client_left,client_right,top_k,spearman_top_feature_stability_mean,spearman_top_feature_stability_std,spearman_top_feature_stability_ci95_low,spearman_top_feature_stability_ci95_high,spearman_top_feature_stability_n,spearman_rank_correlation_mean,spearman_rank_correlation_std,spearman_rank_correlation_ci95_low,spearman_rank_correlation_ci95_high,spearman_rank_correlation_n,top_k_overlap_mean,top_k_overlap_std,top_k_overlap_ci95_low,top_k_overlap_ci95_high,top_k_overlap_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,30.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,31.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,32.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,33.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,34.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,35.0,,,,0.9948051948051948,0.0,0.9948051948051948,0.9948051948051948,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,36.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,37.0,,,,0.9974025974025976,0.0,0.9974025974025976,0.9974025974025976,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,38.0,,,,0.996103896103896,0.0,0.996103896103896,0.996103896103896,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,39.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,40.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,41.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,1.0,5.0,,0.0,,,0,0.9748051948051948,0.01840310606121392,0.9586741611143899,0.9909362284959997,5,1.0,0.0,1.0,1.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,2.0,5.0,,0.0,,,0,0.9831168831168832,0.018088815944395004,0.9672613368598967,0.9989724293738697,5,1.0,0.0,1.0,1.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,1.0,2.0,5.0,,0.0,,,0,0.9750649350649351,0.02043959461845162,0.9571488404491716,0.9929810296806986,5,1.0,0.0,1.0,1.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,2.0,,,,,0.0,,,0,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,3.0,,,,0.9625974025974026,0.02130820187220131,0.9439199401545066,0.9812748650402985,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,4.0,,,,0.985974025974026,0.003830618494481261,0.982616340821011,0.9893317111270409,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,5.0,,,,0.9877922077922078,0.008496325835738266,0.98034484983815,0.9952395657462656,5,,0.0,,,0,,0.0,,,0
