dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Education,linear_logit_attribution_fallback,12.6,0.8944271909999159,11.815999999999999,13.384,5,0.00134196552590448,0.00022313234865074935,0.0011463813988760745,0.0015375496529328855,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Stroke,linear_logit_attribution_fallback,13.6,1.816590212458495,12.007688472691353,15.192311527308647,5,0.0009399382387300599,0.0005425180987014405,0.00046440015842367827,0.0014154763190364415,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Stroke,linear_logit_attribution_fallback,13.6,1.816590212458495,12.007688472691353,15.192311527308647,5,0.0009399382387300599,0.0005425180987014405,0.00046440015842367827,0.0014154763190364415,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,PhysHlth,linear_logit_attribution_fallback,14.0,1.224744871391589,12.926463787289874,15.073536212710126,5,0.0007728570765082601,0.0003411139746524746,0.00047385749463221534,0.001071856658384305,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,PhysHlth,linear_logit_attribution_fallback,14.0,1.224744871391589,12.926463787289874,15.073536212710126,5,0.0007728570765082601,0.0003411139746524746,0.00047385749463221534,0.001071856658384305,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,MentHlth,linear_logit_attribution_fallback,14.2,0.8366600265340756,13.466635152192307,14.933364847807692,5,0.00072135775706692,0.00012158514793920599,0.0006147836759751182,0.0008279318381587217,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,MentHlth,linear_logit_attribution_fallback,14.2,0.8366600265340756,13.466635152192307,14.933364847807692,5,0.00072135775706692,0.00012158514793920599,0.0006147836759751182,0.0008279318381587217,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,PhysActivity,linear_logit_attribution_fallback,16.6,1.140175425099138,15.600592175335816,17.599407824664187,5,0.00025764498067761996,0.00011779208771752747,0.00015439566346120025,0.0003608942978940397,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Smoker,linear_logit_attribution_fallback,16.6,1.1401754250991378,15.600592175335816,17.599407824664187,5,0.00032578016783764,9.182469127193495e-05,0.0002452922771724246,0.00040626805850285544,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,PhysActivity,linear_logit_attribution_fallback,16.6,1.140175425099138,15.600592175335816,17.599407824664187,5,0.00025764498067761996,0.00011779208771752747,0.00015439566346120025,0.0003608942978940397,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Smoker,linear_logit_attribution_fallback,16.6,1.1401754250991378,15.600592175335816,17.599407824664187,5,0.00032578016783764,9.182469127193495e-05,0.0002452922771724246,0.00040626805850285544,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Fruits,linear_logit_attribution_fallback,18.8,1.6431676725154984,17.35970003124349,20.24029996875651,5,0.0001684048521594105,0.00014885791063947741,3.7925140545453924e-05,0.0002988845637733671,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Fruits,linear_logit_attribution_fallback,18.8,1.6431676725154984,17.35970003124349,20.24029996875651,5,0.0001684048521594105,0.00014885791063947741,3.7925140545453924e-05,0.0002988845637733671,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,NoDocbcCost,linear_logit_attribution_fallback,19.2,1.9235384061671346,17.513944247659644,20.886055752340354,5,0.00010998445992263235,0.00016239924577342136,-3.2364755270641334e-05,0.00025233367511590603,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Veggies,linear_logit_attribution_fallback,19.2,1.0954451150103321,18.239800020828994,20.160199979171004,5,8.347671025532558e-05,4.9976516146556495e-05,3.967036240145765e-05,0.00012728305810919352,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,NoDocbcCost,linear_logit_attribution_fallback,19.2,1.9235384061671346,17.513944247659644,20.886055752340354,5,0.00010998445992263235,0.00016239924577342136,-3.2364755270641334e-05,0.00025233367511590603,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Veggies,linear_logit_attribution_fallback,19.2,1.0954451150103321,18.239800020828994,20.160199979171004,5,8.347671025532558e-05,4.9976516146556495e-05,3.967036240145765e-05,0.00012728305810919352,5
