dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36288.6,997.2263033033174,35414.49260517028,37162.70739482972,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4293.8,300.1794463316901,4030.681114201204,4556.9188857987965,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,FN,5942.2,13.935566009315876,5929.984937822508,5954.415062177492,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,FP,999.0,41.20072814890533,962.885969485531,1035.114030514469,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,TN,42668.0,41.20072814890533,42631.885969485535,42704.11403051447,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,TP,1126.8,13.935566009315876,1114.5849378225078,1139.0150621774922,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2781.2,305.1715910762337,2513.705306400295,3048.694693599705,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,7368.8,1005.2796625815126,6487.633524523317,8249.966475476684,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,36298.2,1005.2796625815128,35417.033524523315,37179.36647547668,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4287.8,305.1715910762337,4020.305306400295,4555.294693599705,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,FN,6384.6,98.43932141172044,6298.314130380462,6470.885869619538,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,FP,548.4,93.16544423765713,466.736887544008,630.063112455992,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,TN,43118.6,93.16544423765713,43036.936887544005,43200.26311245599,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,TP,684.4,98.43932141172044,598.1141303804615,770.6858696195385,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,2778.0,304.55951799278904,2511.0418121128328,3044.9581878871672,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,7378.0,1001.9014422586685,6499.794665194979,8256.205334805021,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,36289.0,1001.9014422586685,35410.794665194975,37167.20533480503,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TP,4291.0,304.55951799278904,4024.0418121128328,4557.958187887167,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,FN,5840.6,23.08246087400561,5820.367330971916,5860.832669028085,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,FP,1116.2,59.64645840282556,1063.9175740425142,1168.482425957486,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,TN,42550.8,59.646458402825566,42498.51757404252,42603.08242595749,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,TP,1228.4,23.08246087400561,1208.1673309719158,1248.6326690280844,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FN,2978.4,323.4645266485956,2694.870841400748,3261.9291585992523,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,FP,6784.8,1049.8579427713066,5864.558939112148,7705.041060887853,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TN,36882.2,1049.8579427713066,35961.95893911215,37802.441060887846,5
