dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,accuracy_n,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,precision_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,recall_n,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,specificity_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_n,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_n,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_n,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,brier_n,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high,log_loss_n,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,ece_n,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,decision_threshold_mean,decision_threshold_std,decision_threshold_ci95_low,decision_threshold_ci95_high,decision_threshold_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,0.801710816777042,0.01348221862566889,0.7898931311019144,0.8135285024521697,5,0.3708407193157397,0.014644082654972522,0.3580046149161592,0.3836768237153202,5,0.5993492714669684,0.042508713130567456,0.5620887415661415,0.6366098013677952,5,0.834469965878123,0.022474640398339574,0.8147700749875073,0.8541698567687388,5,0.7169096186725458,0.010188163979623233,0.7079792992005997,0.7258399381444919,5,0.457149870437396,0.0030245249976899873,0.454498757387559,0.45980098348723303,5,0.3975325669115787,0.0038675321116682197,0.39414252554649215,0.4009226082766652,5,0.0988907052083797,0.00033201048870844593,0.09859968518375765,0.09918172523300174,5,0.3186018611194557,0.001427867217979143,0.31735028031985574,0.3198534419190557,5,0.0046753640293902,0.0008325127355409043,0.003945634442419123,0.005405093616361277,5,0.8212778014610848,0.001978797242065473,0.8195433092034813,0.8230122937186882,5,0.22597366761274046,0.0252331265649122,0.2038558569894127,0.24809147823606822,5,0.2344,0.02273323558141251,0.21447344043744632,0.2543265595625537,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,0.8631937874487543,0.00048739605088608784,0.8627665659736697,0.8636210089238389,5,0.5511243114568043,0.0192158775271226,0.5342808521648053,0.5679677707488033,5,0.10734191540529066,0.037333752445594476,0.07461743854247935,0.14006639226810197,5,0.9855543087457349,0.006296066934237841,0.9800355627526438,0.991073054738826,5,0.5464481120755128,0.015531626183378765,0.5328340414722298,0.5600621826787958,5,0.1770040578598409,0.047430409342259706,0.13542947101978686,0.21857864469989496,5,0.3975325669115787,0.0038675321116682197,0.39414252554649215,0.4009226082766652,5,0.0988907052083797,0.00033201048870844593,0.09859968518375765,0.09918172523300174,5,0.3186018611194557,0.001427867217979143,0.31735028031985574,0.3198534419190557,5,0.0046753640293902,0.0008325127355409043,0.003945634442419123,0.005405093616361277,5,0.8212778014610848,0.001978797242065473,0.8195433092034813,0.8230122937186882,5,0.02738883632923364,0.010611551671292236,0.01808740118279935,0.03669027147566793,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,0.8001458530432041,0.013798510122496895,0.7880509256473323,0.8122407804390759,5,0.36969514220033295,0.016139310395911398,0.355548412899484,0.3838418715011819,5,0.607158013863347,0.042444829111615484,0.5699534807740688,0.6443625469526252,5,0.8313875466599493,0.022889383981211986,0.8113241169902761,0.8514509763296225,5,0.7192727802616481,0.00981318805373291,0.7106711416805069,0.7278744188427893,5,0.458442633387574,0.0012759424236463883,0.45732422054167154,0.4595610462334765,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.10168179731835206,0.0005402270845906337,0.10120826740045503,0.10215532723624908,5,0.33425216231876254,0.0015021194775583309,0.33293549654400095,0.3355688280935241,5,0.0381657981910946,0.002114368263596851,0.036312472693681264,0.040019123688507935,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.22971460107221695,0.025607519591976644,0.2072686204914325,0.25216058165300137,5,0.16252,0.018666333330357093,0.1461582374347994,0.1788817625652006,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,0.8629178492589087,0.0010222565815113454,0.8620218018578799,0.8638138966599375,5,0.5244716758313211,0.011421285765779216,0.5144604774571298,0.5344828742055125,5,0.1740557363134814,0.004812436309988362,0.1698374499006847,0.1782740227262781,5,0.9744337829482218,0.001334988429388037,0.9732636139963252,0.9756039519001184,5,0.5742447596308515,0.002173590206860857,0.5723395238114062,0.5761499954502969,5,0.26132528447679393,0.005716231453700555,0.25631478669139995,0.2663357822621879,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.10168179731835206,0.0005402270845906337,0.10120826740045503,0.10215532723624908,5,0.33425216231876254,0.0015021194775583309,0.33293549654400095,0.3355688280935241,5,0.0381657981910946,0.002114368263596851,0.036312472693681264,0.040019123688507935,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.046255124566382796,0.0015793990550062257,0.044870720255350396,0.047639528877415196,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,0.8026135288552506,0.008745727383796741,0.7949475608056531,0.8102794969048481,5,0.37185747779239053,0.00988443991718399,0.3631933841992509,0.38052157138553017,5,0.6008770688923468,0.030018210158670577,0.5745649475691033,0.6271891902155904,5,0.8352714864772024,0.014969484313150828,0.8221501549483722,0.8483928180060326,5,0.7180742776847747,0.007630775009017795,0.711385608481436,0.7247629468881135,5,0.4589036090683997,0.0025187531212214355,0.45669582461494407,0.4611113935218554,5,0.39476307541584993,0.0036278032531766578,0.39158316566007556,0.3979429851716243,5,0.098803741743049,0.000326173010479331,0.09851783849369684,0.09908964499240115,5,0.31840844199351775,0.0012191466084297531,0.31733981287465074,0.31947707111238477,5,0.0033200404686193003,0.0011838089849757346,0.0022823861424092384,0.0043576947948293625,5,0.8211851689205757,0.0019607175068818623,0.8194665242495914,0.82290381359156,5,0.2254966887417218,0.01704353103735498,0.2105573751030697,0.24043600238037388,5,0.23924000000000004,0.01550944873294985,0.2256453687891139,0.2528346312108862,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,0.8633475244402398,0.000622563652513948,0.8628018233384818,0.8638932255419978,5,0.5504872863083617,0.020547165430975567,0.5324769017181125,0.568497670898611,5,0.10971848917810152,0.019719112247673278,0.09243392520493704,0.127003053151266,5,0.9853482034488286,0.003454552074165515,0.982320155047127,0.9883762518505301,5,0.5475333463134652,0.008175312220119815,0.5403673691997679,0.5546993234271624,5,0.18211732282939205,0.026338372105363078,0.15903072177523583,0.20520392388354827,5,0.39476307541584993,0.0036278032531766578,0.39158316566007556,0.3979429851716243,5,0.098803741743049,0.000326173010479331,0.09851783849369684,0.09908964499240115,5,0.31840844199351775,0.0012191466084297531,0.31733981287465074,0.31947707111238477,5,0.0033200404686193003,0.0011838089849757346,0.0022823861424092384,0.0043576947948293625,5,0.8211851689205757,0.0019607175068818623,0.8194665242495914,0.82290381359156,5,0.027897350993377444,0.005691182076721436,0.022908809954993444,0.03288589203176145,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,0.8001695048880479,0.013706394872105482,0.7881553200691388,0.8121836897069571,5,0.3697437157995372,0.016066870211051992,0.35566048312032633,0.38382694847874804,5,0.6073277691328334,0.04213849031456375,0.5703917538383017,0.6442637844273651,5,0.8313875466599491,0.022725689553100913,0.8114676014828432,0.8513074918370549,5,0.7193576578963914,0.009759714156673144,0.7108028912526384,0.7279124245401444,5,0.4585417195944846,0.001556563420673958,0.45717733159947727,0.4599061075894919,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.10177556967290488,0.0005304629938021907,0.1013105983579385,0.10224054098787126,5,0.3342272876586412,0.0015588208448963513,0.3328609209440599,0.33559365437322247,5,0.037208391625563164,0.0024287881268719707,0.03507946496654816,0.03933731828457817,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.22973825291706085,0.025420667724199004,0.20745605521968125,0.25202045061444045,5,0.16246,0.018849482751523976,0.14593769988893798,0.178982300111062,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,0.8628744875433618,0.0010573202104057202,0.8619477055164968,0.8638012695702268,5,0.5229348539902601,0.011031573926494547,0.5132652531044652,0.5326044548760549,5,0.1810722874522563,0.005529727057771144,0.1762252679777634,0.18591930692674918,5,0.9732475324615841,0.001203795745143898,0.9721923589676548,0.9743027059555135,5,0.5771599099569202,0.0026195352495405884,0.5748637860730478,0.5794560338407927,5,0.2689607844356171,0.006711988454945598,0.26307746715543184,0.27484410171580237,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.10177556967290488,0.0005304629938021907,0.1013105983579385,0.10224054098787126,5,0.3342272876586412,0.0015588208448963513,0.3328609209440599,0.33559365437322247,5,0.037208391625563164,0.0024287881268719707,0.03507946496654816,0.03933731828457817,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.048253705455692145,0.0014886759785815455,0.046948823427337034,0.049558587484047255,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,0.7992746767581205,0.014520965501100628,0.7865464893020395,0.8120028642142014,5,0.3687988198332978,0.016926471708108144,0.35396211322074356,0.3836355264458521,5,0.6094214174565002,0.04423340566973008,0.5706491278905945,0.648193707022406,5,0.8300089312295326,0.02401531011728231,0.8089585837877238,0.8510592786713413,5,0.7197151743430164,0.010152909520177783,0.7108157567672596,0.7286145919187731,5,0.4582950421966713,0.0014193786078104088,0.45705090199194504,0.4595391824013975,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.09923469434679114,0.0004139113355236453,0.09887188506469881,0.09959750362888346,5,0.32052286983409617,0.0012117521838756584,0.31946072221412447,0.32158501745406787,5,0.012934380980998621,0.001631820918414783,0.011504026880731436,0.014364735081265807,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.23121649321980442,0.026824333890017576,0.207703927880346,0.25472905855926287,5,0.21612,0.022385419361718468,0.19649831479612417,0.23574168520387584,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,0.8633238725953957,0.0007982619299756894,0.8626241651631995,0.8640235800275918,5,0.5333083666738874,0.010503083305789241,0.5241020082418129,0.5425147251059619,5,0.15348705616070163,0.004747966175368075,0.14932528031248848,0.15764883200891477,5,0.9782352806467125,0.00131400296395949,0.977083506266293,0.979387055027132,5,0.5658611684037071,0.0019537537290107397,0.5641486277531573,0.567573709054257,5,0.23831439769494178,0.005506185195554812,0.2334880135725081,0.24314078181737547,5,0.4017031743342859,0.004207058448911675,0.39801552501286996,0.4053908236557018,5,0.09923469434679114,0.0004139113355236453,0.09887188506469881,0.09959750362888346,5,0.32052286983409617,0.0012117521838756584,0.31946072221412447,0.32158501745406787,5,0.012934380980998621,0.001631820918414783,0.011504026880731436,0.014364735081265807,5,0.8214185757749813,0.001958150915469153,0.8197021808205619,0.8231349707294008,5,0.040117470829391336,0.001672124376142697,0.03865178919081065,0.04158315246797202,5,0.5,0.0,0.5,0.5,5
