score_card,metric,metric_label,value,ci95_low,ci95_high,n,higher_is_better,source_table,caveat,interpretation,threshold,dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,is_near_99,specificity,false_positive_rate
Best Selected-Threshold Specificity,specificity,Specificity,0.9940916481553576,,,,True,dashboard_confusion.csv,This specificity is computed from the saved selected-threshold confusion matrix.,It confirms whether the deployed threshold avoids false positives for non-diabetic cases.,,cdc,showcase,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,fixed_0p5,True,0.9940916481553576,0.0059083518446424454
Best Selected-Threshold Specificity,specificity,Specificity,1.0,,,,True,dashboard_confusion.csv,This specificity is computed from the saved selected-threshold confusion matrix.,It confirms whether the deployed threshold avoids false positives for non-diabetic cases.,,pima,showcase,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,fixed_0p5,True,1.0,0.0
