dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,accuracy_n,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,precision_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,recall_n,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,specificity_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_n,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_n,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_n,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,brier_n,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high,log_loss_n,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,ece_n,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,decision_threshold_mean,decision_threshold_std,decision_threshold_ci95_low,decision_threshold_ci95_high,decision_threshold_n,showcase_role,showcase_run_type
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,0.8148573005361083,0.0056697251129067,0.809887567355759,0.8198270337164576,5,0.3912497893996195,0.0082341790007325,0.3840322132776801,0.3984673655215589,5,0.5894468807469231,0.0161262542331405,0.5753115956773266,0.6035821658165196,5,0.8513476996358806,0.0090100706057676,0.8434500245361055,0.8592453747356558,5,0.7203972901914019,0.004053661690963,0.71684409905668,0.7239504813261237,5,0.4701265466580519,0.0033568436465709,0.4671841434692921,0.4730689498468117,5,0.4298274023289644,0.0041058001062707,0.4262285098582227,0.4334262947997061,5,0.1280735047771474,0.0430438283947752,0.0903439256665466,0.1658030838877482,5,0.3913294446031504,0.1092602041889598,0.295558653032758,0.4871002361735428,5,0.0970842550820826,0.12850463234537,-0.0155550215102806,0.2097235316744459,5,0.8297323093544712,0.0022140900172072,0.8277915738860537,0.8316730448228886,5,0.2100678019552191,0.0099106945123232,0.2013806951947738,0.2187549087156644,5,0.4157,0.2271177007632826,0.2166225578223389,0.6147774421776611,5,best_centralized_decision,
cdc,audit,3,iid,0.5,federated,fedavg,mlp,federated_isotonic,calib_f1_optimal,0.8050220750551876,0.0085982331461773,0.7974853914050998,0.8125587587052755,5,0.3775633567885871,0.0104720895360347,0.3683841655935242,0.3867425479836499,5,0.6121657943131984,0.0253777977254528,0.5899211738265243,0.6344104147998725,5,0.8362424714315158,0.0139303867886207,0.8240319490411252,0.8484529938219063,5,0.7242041328723571,0.0061564551372271,0.7188077620149481,0.729600503729766,5,0.4666576581515586,0.003670062493482,0.4634407065384561,0.469874609764661,5,0.4164956424010955,0.0052208063011145,0.4119194039087282,0.4210718808934628,5,0.0976154307495279,0.0004560074023814,0.0972157226379404,0.0980151388611154,5,0.3154723870668711,0.0015143280844007,0.3141450199763839,0.3167997541573583,5,0.0041640215942737,0.0010575236531958,0.0032370612419406,0.0050909819466067,5,0.8259235754069163,0.0025816241788046,0.8236606820416998,0.8281864687721328,5,0.2262338379060233,0.0154457203778217,0.2126950670613281,0.2397726087507184,5,0.2312999999999999,0.0235193537326177,0.2106843774966652,0.2519156225033346,5,best_federated_decision,
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,0.8069891201513718,0.0126427459607135,0.7959072647103286,0.818070975592415,5,0.381747443509797,0.0163615891993838,0.3674058782472555,0.3960890087723385,5,0.6127882303013157,0.0382143687170396,0.5792918592432472,0.6462846013593841,5,0.8384271875787208,0.020799506664664,0.8201956161448666,0.856658759012575,5,0.7256077089400181,0.0089032491860529,0.7178036669429696,0.7334117509370667,5,0.4694536482936161,0.0030831277728114,0.466751167646553,0.4721561289406791,5,0.4175411278347702,0.0034059184276623,0.4145557087037819,0.4205265469657586,5,0.0970938173417732,0.0003907161516542,0.0967513395347708,0.0974362951487756,5,0.3140044700689828,0.001384214280092,0.3127911527565038,0.3152177873814619,5,0.0032615244170472,0.000906286454985,0.0024671293138372,0.0040559195202573,5,0.8283167853931035,0.0020265842870301,0.826540405943754,0.830093164842453,5,0.2244402396720277,0.023190266505097,0.2041130748419082,0.2447674045021472,5,0.2275999999999999,0.0255696108691548,0.2051872478798341,0.2500127521201658,5,best_probability_quality,centralized
cdc,audit,5,non_iid,1.0,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,0.8008396404919583,0.0111846317999265,0.7910358784648452,0.8106434025190714,5,0.3695711621975345,0.0120222258490724,0.3590332166156971,0.3801091077793719,5,0.6026312066770406,0.0396767007752528,0.5678530450549382,0.6374093682991431,5,0.8329264662101815,0.0193394527933934,0.8159746884214606,0.8498782439989024,5,0.7177788364436111,0.0103225618130089,0.7087307120766051,0.726826960810617,5,0.4573415345250931,0.0038576885617305,0.4539601214119523,0.4607229476382338,5,0.3953645850098498,0.0044365195275239,0.3914758041850066,0.3992533658346929,5,0.0988358528892079,0.0003171667544858,0.0985578439713005,0.0991138618071154,5,0.318511000038269,0.001147288886054,0.3175053569901627,0.3195166430863754,5,0.0031813203997729,0.0014401749012809,0.0019189514401016,0.0044436893594442,5,0.8210376167581355,0.0017635703672013,0.8194917791742622,0.8225834543420087,5,0.2277593818984546,0.0221388774629668,0.2083538001969837,0.2471649635999256,5,0.23508,0.0168608125545597,0.220300846173072,0.249859153826928,5,best_probability_quality,federated
